INFO  15:21:55 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  15:21:55 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [likelyquery0] with 250 threads for 20000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        247395,    1632,    1632,    1632,   153.2,   150.3,   191.3,   217.9,   245.5,   251.5,  151.5,  0.00468,      0,      0,       0,       0,       0,       0
total,        249376,    1631,    1631,    1631,   153.2,   150.8,   188.4,   216.9,   261.2,   275.8,  152.7,  0.00465,      0,      0,       0,       0,       0,       0
total,        251339,    1641,    1641,    1641,   150.3,   147.3,   185.6,   212.7,   239.9,   253.0,  153.9,  0.00461,      0,      0,       0,       0,       0,       0
total,        253224,    1590,    1590,    1590,   159.5,   152.5,   214.0,   242.5,   280.9,   297.6,  155.1,  0.00458,      0,      0,       0,       0,       0,       0
total,        255140,    1603,    1603,    1603,   156.5,   150.3,   203.4,   230.0,   263.8,   277.3,  156.3,  0.00455,      0,      0,       0,       0,       0,       0
total,        257108,    1677,    1677,    1677,   148.5,   145.1,   184.5,   217.3,   274.9,   283.5,  157.5,  0.00452,      0,      0,       0,       0,       0,       0
total,        259122,    1660,    1660,    1660,   149.9,   147.5,   189.2,   212.6,   247.5,   251.4,  158.7,  0.00448,      0,      0,       0,       0,       0,       0
total,        261016,    1584,    1584,    1584,   157.5,   150.6,   208.1,   239.4,   264.3,   264.9,  159.9,  0.00446,      0,      0,       0,       0,       0,       0
total,        263058,    1651,    1651,    1651,   151.8,   145.6,   197.8,   236.1,   254.8,   283.7,  161.1,  0.00442,      0,      0,       0,       0,       0,       0
total,        265046,    1657,    1657,    1657,   151.8,   148.9,   188.1,   217.8,   247.3,   277.5,  162.3,  0.00439,      0,      0,       0,       0,       0,       0
total,        266972,    1605,    1605,    1605,   152.9,   147.8,   193.1,   221.3,   242.8,   307.1,  163.5,  0.00436,      0,      0,       0,       0,       0,       0
total,        268941,    1655,    1655,    1655,   153.1,   147.4,   195.9,   224.8,   256.5,   258.0,  164.7,  0.00433,      0,      0,       0,       0,       0,       0
total,        270843,    1623,    1623,    1623,   154.3,   149.5,   201.3,   230.4,   257.6,   265.4,  165.9,  0.00430,      0,      0,       0,       0,       0,       0
